Name,SaxoId,WpId,Boten
-3019122284221317088,20132039,830,"Eerstejaars Zwaar 2014,Zevende Hemøll ,Cedo Nulli,Eerstejaars Zwaar 2015,Titønic,Middengroep Zwaar 2016,Bøtsbootje,Hete Bliksems,Tøtale Escalatie,Titvanger,DTalenten8,Licht Getalenteerd,Middengroep Zwaar 2017,Escalatie 17,Søbtiel,Knettâh,Middengrøep Gayns,Middengroep Dames,Middengroep Zwaar,ØK,2x zo snel,Eerstejaars Dames"
6275245564694831843,20203924,1952,"GRØØTS,Eerstejaars Licht 2017,Eerstejaars Licht"
8930400574522834352,20123007,668,"Middengroep Zwaar 2013,Middengroep Zwaar 2014,Middengroep Zwaar 2015,Ouderejaars Zwaar 2016,Ouderejaars Zwaar 2017,Ouderejaars Zwaar,Ouderejaars Heren"
9203940151228125997,20082087,129,"Legacy ,Zevende Hemøll ,Vaarverbøøt,Adrien"
7906879189808877623,19873003,24,"Ouderejaars Dames,Ouderejaars Heren"
1357609113815269186,20203852,1890,"Absølut,Ødins øl,VAMØS,Eerstejaars Dames,Middengroep Dames"
-7350887215285814631,19923010,26,
-6295906294156012236,19903001,1116,
7923080719963664638,20072054,93,"Hollandsche Nieuwe,OudLicht 2014,Middengroep Dames 2015,Oudlicht 2013,Ouderejaars Zwaar 2017,Ouderejaars Zwaar,Ouderejaars Heren"
-2955025527919505924,20132129,920,"Clubacht Heren,Nø Stress,Mannenhardt,Watskebøøt Deluxe"
6436917899239982093,20131010,736,"10 eroverheen,Mannenhardt,Øl Brødre"
7250063752898373950,20042034,52,
2824602179384065610,20132217,1008,"Nø Stress,Dames Talenten 8,Luxe Benen,Møartens Angels"
-8408106268904808955,20203177,1396,"Eerstejaars Zwaar 2015,Middengroep Zwaar 2016"
-6669198471684556800,19733001,1124,
7215761087449000877,20132103,894,"Clubacht Heren,Nø Stress,Petit Bateau,Úlfhéðnar,Eerstejaars Zwaar 2016,Middengroep Zwaar 2017,Dames Talenten 8+,Middengroep Zwaar"
8057054435908989684,20203708,1723,"Sombrerøw,Eerstejaars Dames 2017,DCl8+,Bløb,Pøwer,Øzøsnel"
-8368456934439316800,20132248,1039,"Wølfpack,Vløt,Row your Goat"
-1452654013272484780,20203639,1646,"Eerstejaars Dames 2016,Middengroep Dames 2017,Dtal8+ '17,Eerstejaars Dames 2018,Cøølman"
8867771988370195861,20203916,1604,
-3618658172012933834,19883001,1121,
-838214447356523183,20203827,1859,"Øpdreef,Dørst"
1861220737039305455,20203353,1367,"Turbøøt,LOCO,CompoCie-8,PLUTØ,Eerstejaars Zwaar"
-1119461832215945587,19963022,1127,
3672538344581940891,7,20,
8399933469350454777,20203551,1596,"Heren Talenten8,Eerstejaars Zwaar 2016,Jalapeñøs,Middengroep Zwaar 2017,Middengroep Zwaar,Eerstejaars Dames"
7844230953356890210,20203826,1858,"Prøwst,Blikken en bløzen,VAMØS,Boot & Huysch ringvaartploeg"
-4499214196686633325,20203778,1802,
-5900589854614402163,20141060,1171,
9097847570718627940,20113028,433,"Clubacht Dames,#YOCO 2.0,HCl8: #YOCO,Row force one,Instapclubacht Dames,Achtøs,Dames Club4+,Eerstejaars Dames 2016,Middengroep Dames 2017,Middengroep Dames,Ouderejaars Dames"
-6117960795519111866,20132294,1085,"Schluss,Clubacht Heren 2015,Hete Bliksems,Eerstejaars Lichte Dames 2017,Eerstejaars Lichte Dames"
-4980627939144027574,20002015,36,Middengroep Zwaar 2014
-8731098903585841861,20061007,67,"Eerstejaars Licht 2013,Eerstejaars Zwaar 2012,Eerstejaars Licht 2015,OudLicht 2016"
5411047479804167186,19992034,34,
1329060244667556796,19873002,23,
-3629440392213715546,20042040,53,"Eerstejaars Dames 2015,Topgroep 2015,Ouderejaars Dames 2017,Ouderejaars Dames"
4344278618338740519,20102145,292,"STUK,Eerstejaars Licht 2011,Jut en Jul,Legacy ,H1x,Cede Maiøri,6 Girls 1 Boat,Spoenck,Vaarverbøøt,DCl8+,Heren Clubacht"
3417153708344897162,19663001,1119,
6204903397172366805,20112030,342,"Oudlicht,OudLicht 2014,Gørillaz,Oudlicht 2013,Subtop 2015,OudLicht 2017,Ouderejaars Zwaar,Ouderejaars Heren,Oude Vier"
491692513670975435,20132080,871,"Røwjøb,Titønic,Invictøs,Als een Tijger,Eerstejaars Dames 2016,Titvanger,Middengroep Dames 2017,Ouderejaars Dames,Førstemannen,INFINITY+,Middengroep Dames"
3348669509224009798,20203652,1663,"Eerstejaars Zwaar 2016,Middengroep Zwaar,Daan van Ederen"
-7835749401125722582,20132204,995,Bôte dOr
-3119290881172564406,20203664,1677,"Prøwst,Blikken en bløzen"
401339799287615691,20132161,952,"Schluss,Petit Bateau,DamesTopC4+,Eerstejaars Zwaar,Middengroep Zwaar"
-3814466167209529385,20203291,1444,"Eerstejaars Licht 2015,OudLicht 2016,OudLicht 2017,DTal4* 17,Eerstejaars Lichte Dames 2018,Pieter,Middengroep Lichte Dames,Ouderejaars Dames"
3154967445218367074,20112130,392,"Børrelboot,Mentula,Brakke koppen"
-1653521420103993376,20203254,1462,
-7760214069525705242,20141055,1188,
-2501661418924649431,20203767,1788,HCl8+
-5240616072114664378,20131008,734,"Eerstejaars Dames 2014,Middengroep Dames 2015,Ouderejaars Dames 2016,Ouderejaars Dames 2017,Søbtiel,Eerstejaars Zwaar 2018,Ouderejaars Dames"
-2343614899177386457,19713001,22,
-7734413988392718039,20203964,1992,"LIL BØØT,Amstelsch gøud,Taørt,STRIJDLØSTIG,PLUTØ"
-4572617684727518112,20203498,1559,"JAN.,Ønveilig,Eerstejaars Licht"
5675966821601103807,20141044,1160,Das Boot
